appMasterHost,appId,runtime
normal_cluster,application_1758535431786_10449,0 days 00:00:19.905000
normal_cluster,application_1758535431786_10442,0 days 00:01:35.395000
normal_cluster,application_1758535431786_10445,0 days 00:01:11.666000
normal_cluster,application_1758535431786_10438,0 days 00:02:04.961000
normal_cluster,application_1758535431786_10435,0 days 00:02:10.598000
normal_cluster,application_1758535431786_10448,0 days 00:01:50.430000
normal_cluster,application_1758535431786_10450,0 days 00:01:22.149000
normal_cluster,application_1758535431786_10443,0 days 00:02:37.910000
normal_cluster,application_1758535431786_10432,0 days 00:04:01.570000
normal_cluster,application_1758535431786_10446,0 days 00:03:15.561000
normal_cluster,application_1758535431786_10436,0 days 00:04:10.013000
normal_cluster,application_1758535431786_10424,0 days 00:08:38.972000
normal_cluster,application_1758535431786_10451,0 days 00:01:54.277000
normal_cluster,application_1758535431786_10440,0 days 00:04:42.215000
normal_cluster,application_1758535431786_10427,0 days 00:07:58.927000
normal_cluster,application_1758535431786_10417,0 days 00:09:40.168000
normal_cluster,application_1758535431786_10462,0 days 00:00:14.868000
normal_cluster,application_1758535431786_10455,0 days 00:00:22.844000
normal_cluster,application_1758535431786_10464,0 days 00:00:25.725000
normal_cluster,application_1758535431786_10458,0 days 00:00:33.337000
normal_cluster,application_1758535431786_10412,0 days 00:10:41.297000
normal_cluster,application_1758535431786_10453,0 days 00:00:42.225000
normal_cluster,application_1758535431786_9728,0 days 02:11:34.871000
normal_cluster,application_1758535431786_10468,0 days 00:00:37.803000
normal_cluster,application_1758535431786_10447,0 days 00:06:11.206000
normal_cluster,application_1758535431786_10452,0 days 00:04:22.228000
normal_cluster,application_1758535431786_10465,0 days 00:01:38.978000
normal_cluster,application_1758535431786_10460,0 days 00:01:39.679000
normal_cluster,application_1758535431786_10472,0 days 00:00:34.226000
normal_cluster,application_1758535431786_10470,0 days 00:01:22.191000
normal_cluster,application_1758535431786_10456,0 days 00:02:16.069000
normal_cluster,application_1758535431786_10471,0 days 00:01:06.018000
normal_cluster,application_1758535431786_10467,0 days 00:01:42.982000
normal_cluster,application_1758535431786_10475,0 days 00:00:35.230000
normal_cluster,application_1758535431786_10457,0 days 00:02:25.076000
normal_cluster,application_1758535431786_10477,0 days 00:00:33.392000
normal_cluster,application_1758535431786_10476,0 days 00:00:53.225000
normal_cluster,application_1758535431786_10479,0 days 00:00:37.508000
normal_cluster,application_1758535431786_10469,0 days 00:02:27.314000
normal_cluster,application_1758535431786_10473,0 days 00:02:21.946000
normal_cluster,application_1758535431786_10474,0 days 00:02:24.341000
normal_cluster,application_1758535431786_10484,0 days 00:00:40.494000
normal_cluster,application_1758535431786_10350,0 days 00:36:30.469000
normal_cluster,application_1758535431786_10466,0 days 00:03:38.673000
normal_cluster,application_1758535431786_10489,0 days 00:00:47.261000
normal_cluster,application_1758535431786_10490,0 days 00:00:27.735000
normal_cluster,application_1758535431786_10493,0 days 00:00:21.156000
normal_cluster,application_1758535431786_10491,0 days 00:00:24.375000
normal_cluster,application_1758535431786_10483,0 days 00:01:22.814000
normal_cluster,application_1758535431786_10496,0 days 00:00:22.429000
normal_cluster,application_1758535431786_10492,0 days 00:00:41.176000
normal_cluster,application_1758535431786_10498,0 days 00:00:22.749000
normal_cluster,application_1758535431786_10485,0 days 00:01:45.785000
normal_cluster,application_1758535431786_10499,0 days 00:00:24.064000
normal_cluster,application_1758535431786_10497,0 days 00:00:34.709000
normal_cluster,application_1758535431786_10501,0 days 00:00:28.880000
normal_cluster,application_1758535431786_10494,0 days 00:00:45.197000
normal_cluster,application_1758535431786_10480,0 days 00:02:07.382000
normal_cluster,application_1758535431786_10503,0 days 00:00:16.973000
normal_cluster,application_1758535431786_10500,0 days 00:00:39.853000
normal_cluster,application_1758535431786_10504,0 days 00:00:23.092000
normal_cluster,application_1758535431786_10481,0 days 00:02:31.627000
normal_cluster,application_1758535431786_10488,0 days 00:02:28.207000
normal_cluster,application_1758535431786_10506,0 days 00:00:36.256000
normal_cluster,application_1758535431786_10507,0 days 00:00:27.585000
normal_cluster,application_1758535431786_10463,0 days 00:05:50.063000
normal_cluster,application_1758535431786_10478,0 days 00:03:14.581000
normal_cluster,application_1758535431786_10487,0 days 00:02:54.260000
normal_cluster,application_1758535431786_10508,0 days 00:00:37.613000
normal_cluster,application_1758535431786_10513,0 days 00:00:26.522000
normal_cluster,application_1758535431786_10509,0 days 00:00:34.438000
normal_cluster,application_1758535431786_10516,0 days 00:00:24.372000
normal_cluster,application_1758535431786_10502,0 days 00:01:42.775000
normal_cluster,application_1758535431786_10505,0 days 00:01:33.597000
normal_cluster,application_1758535431786_10518,0 days 00:00:33.046000
normal_cluster,application_1758535431786_10519,0 days 00:00:36.985000
normal_cluster,application_1758535431786_10515,0 days 00:01:29.735000
normal_cluster,application_1758535431786_10524,0 days 00:00:25.050000
